token,community,size,mean_cosine_to_own_others,nearest_other_community,cosine_margin,cosine_silhouette,max_membership,second_community,second_membership,membership_margin,normalized_membership_entropy,hsk_levels,pinyin,dictionary_translation,dictionary_translation_source,second_component_representatives,repeat_cluster_match_fraction
扭头,1,52,0.48676143139752326,86,0.06448858148295517,0.11162463365867245,0.8983725454328153,86,0.05374650837933254,0.8446260370534827,0.08882866986381745,7-9,niǔtóu,to turn one's head; to turn around,Translation,哆嗦 | 发愣 | 一动不动 | 叹气 | 发抖 | 一声不吭 | 颤抖 | 哭泣 | 一言不发 | 呜咽 | 哭 | 咧嘴,0.5
神气,140,44,0.40516118400392254,196,0.022977571303559374,0.03719158600501059,0.9661988287071286,196,0.006730958995315066,0.9594678697118135,0.04393073257842575,7-9,shénqì,expression; manner; vigorous; impressive; lofty; pretentious,Translation,聪明 | 胆小 | 乖巧 | 贪玩儿 | 懂事 | 倔强 | 耿直 | 调皮 | 暴躁 | 脾气 | 听话 | 老实,0.75
口气,140,44,0.39860378069674834,1,0.016754175555107553,0.02710372054190243,0.8826997970692512,1,0.03799491639577068,0.8447048806734805,0.11371719040381864,7-9,kǒuqì,tone of voice; the way one speaks; manner of expression; tone,Translation,扭头 | 小声 | 摇头 | 大声 | 插嘴 | 招呼 | 走开 | 嚷 | 点头 | 打岔 | 坐下 | 瞅,1.0
样子,140,44,0.3954204837337935,86,0.07159979332900102,0.10588876694831745,0.9602205531677237,179,0.009636145127159204,0.9505844080405645,0.053836830631182754,2,yàngzi,appearance; manner; pattern; model,Translation,就算 | 也许 | 毕竟 | 不然 | 当然 | 难道 | 要不然 | 可是 | 其实 | 反正 | 何况 | 要是,0.75
举动,140,44,0.3947818246615757,51,0.08780645366518108,0.12670033645330134,0.7668102811423639,51,0.1650964484928771,0.6017138326494869,0.16789511160454632,5,jǔdòng,act; action; activity; move; movement,Translation,想法 | 思路 | 举措 | 方法 | 意图 | 路子 | 目的 | 初衷 | 动机 | 道理 | 方针 | 看法,0.25
态度,140,44,0.391839802186116,17,0.05408303872237913,0.0816664266822115,0.864322615772485,51,0.0683266037995865,0.7959960119728986,0.12551264715611013,2,tàidù,manner; bearing; attitude; approach,Translation,想法 | 思路 | 举措 | 方法 | 意图 | 路子 | 目的 | 初衷 | 动机 | 道理 | 方针 | 看法,0.25
模样,140,44,0.39038018311873235,144,0.03435243717856057,0.05334459204102466,0.9878376790008566,144,0.005509162130152409,0.9823285168707042,0.016875157211505197,5,múyàng,look; style; appearance; approximation; about; also pr. [mó yàng],Translation,造型 | 外形 | 线条 | 形状 | 气质 | 外貌 | 外表 | 花纹 | 外观 | 装扮 | 轮廓 | 颜色,0.75
脸色,140,44,0.38776267358226896,86,-0.010287826569775893,-0.016803657872301116,0.6159535298178345,86,0.22104777185757296,0.3949057579602615,0.2328886961655907,5,liǎnsè,complexion; look,Translation,哆嗦 | 发愣 | 一动不动 | 叹气 | 发抖 | 一声不吭 | 颤抖 | 哭泣 | 一言不发 | 呜咽 | 哭 | 咧嘴,1.0
声音,140,44,0.387665217811537,1,0.03170161523256837,0.049223328618559034,0.630189774002761,191,0.3117002622375886,0.3184895117651724,0.17813579839624863,2,shēngyīn,voice; sound,Translation,音响 | 开关 | 电铃 | 录音机 | 电脑 | 按键 | 遥控 | 收音机 | 音量 | 话筒 | 显示器 | 门铃,0.25
姿态,140,44,0.3846937096871533,144,0.101683126967266,0.14181956458018477,0.9637745554835937,13,0.008282263822470626,0.955492291661123,0.05155688163062065,7-9,zītài,attitude; posture; stance,Translation,韵味 | 魅力 | 底蕴 | 风貌 | 风情 | 风采 | 气息 | 风范 | 精髓 | 内涵 | 情调 | 风尚,0.5
言行,140,44,0.3838615773023181,138,0.06896038514337754,0.10065757574544798,0.953830010590651,138,0.02317030653580216,0.9306597040548488,0.056951064809410736,7-9,yánxíng,words and actions; what one says and what one does,Translation,品德 | 人格 | 思维 | 素养 | 审美 | 观念 | 修养 | 意识 | 自尊 | 信念 | 价值观 | 思想,0.5
架势,140,44,0.3686829777174481,1,0.08351224892968467,0.11682824457938215,0.9356629437958036,180,0.01783191801667276,0.9178310257791309,0.07706461425190506,7-9,jiàshi,attitude; position (on an issue etc),Translation,榜样 | 斗志 | 威信 | 志气 | 旗帜 | 楷模 | 声誉 | 荣誉 | 决心 | 劲头 | 声望 | 信心,0.5
眼色,140,44,0.3668257944703239,1,-0.023495174059344814,-0.0371069665412066,0.7576362498301101,1,0.14710561578478243,0.6105306340453277,0.1800149471019888,7-9,yǎnsè,signal made with one's eyes; meaningful glance,Translation,扭头 | 小声 | 摇头 | 大声 | 插嘴 | 招呼 | 走开 | 嚷 | 点头 | 打岔 | 坐下 | 瞅,1.0
姿势,140,44,0.36271273445215396,128,0.05449067745269909,0.07876902986578171,0.8143126380739074,95,0.05086840837996135,0.7634442296939461,0.18960127964251638,7-9,zīshì,posture; position,Translation,肝脏 | 皮肤 | 肌肉 | 血管 | 胃 | 肝 | 身体 | 细胞 | 脾 | 心脏 | 肺 | 唾液,0.5
笑脸,140,44,0.3582370756306091,86,0.048233562786424766,0.06990407007033445,0.9775180885157836,167,0.003039886922856489,0.9744782015929271,0.03424355258480371,6,xiàoliǎn,smiling face; smiley :) ☺,Translation,欢呼 | 掌声 | 喝彩 | 热烈 | 赞叹 | 笑声 | 如醉如痴 | 振奋 | 鼓掌 | 惊叹 | 哄堂大笑 | 欢声笑语,1.0
话,140,44,0.3562412799718258,1,0.06474549782275968,0.09138336257072471,0.8112677619829457,179,0.06754550086265206,0.7437222611202936,0.19506174351698294,1,huà,dialect; language; spoken words; speech; talk; words; conversation; what sb said; old variant of 话,Translation,就算 | 也许 | 毕竟 | 不然 | 当然 | 难道 | 要不然 | 可是 | 其实 | 反正 | 何况 | 要是,0.5
手势,140,44,0.3541006070847824,1,0.05079294774183507,0.07290585065702328,0.9248496077305816,191,0.03604751447136277,0.8888020932592188,0.08448084803293066,7-9,shǒushì,gesture; sign; signal,Translation,音响 | 开关 | 电铃 | 录音机 | 电脑 | 按键 | 遥控 | 收音机 | 音量 | 话筒 | 显示器 | 门铃,0.75
微笑,140,44,0.3520698638442829,86,-0.027720827201235254,-0.0427836670257503,0.8922852691206448,86,0.04750253395336867,0.8447827351672761,0.10735708353187298,4,wēixiào,smile; to smile,Translation,哆嗦 | 发愣 | 一动不动 | 叹气 | 发抖 | 一声不吭 | 颤抖 | 哭泣 | 一言不发 | 呜咽 | 哭 | 咧嘴,1.0
言论,140,44,0.34960455700757526,110,0.050526591575941526,0.07208589412809104,0.7969703030688386,110,0.04901716044960907,0.7479531426192296,0.19941098248502992,7-9,yánlùn,expression of opinion; views; remarks; arguments,Translation,反驳 | 批评 | 指责 | 质问 | 辩解 | 抨击 | 质疑 | 反思 | 解释 | 揣测 | 否认 | 承认,0.25
情绪,140,44,0.34728223301908095,52,-0.005237836395724671,-0.00802465730318895,0.6552859375813355,52,0.10024259845294173,0.5550433391283938,0.27231274493392266,6,qíngxù,mood; state of mind; moodiness,Translation,沮丧 | 焦躁 | 茫然 | 羞愧 | 慌张 | 烦躁 | 不安 | 绝望 | 苦恼 | 惊慌 | 气愤 | 恐惧,0.0
一举一动,140,44,0.346056058537448,86,0.08990284108140462,0.12086204201077104,0.6889160745247538,116,0.06588553700369276,0.623030537521061,0.344098151243953,7-9,yījǔ-yīdòng,every movement; each and every move,Translation,走近 | 注视 | 打量 | 抚摸 | 目光 | 走进 | 望见 | 只见 | 走过 | 向着 | 拥抱 | 推开,0.5
动作,140,44,0.34584657509279415,10,0.04925164583363523,0.07001889506108096,0.9347111154968809,49,0.012247230874494176,0.9224638846223867,0.0847342151312048,1,dòngzuò,movement; motion; action; to act; to move,Translation,天分 | 功力 | 本事 | 天赋 | 功底 | 才华 | 本领 | 技巧 | 长处 | 手艺 | 绝技 | 魄力,0.5
意思,140,44,0.33787360140880635,112,0.020018003501946324,0.02934569783248492,0.6849447274488892,51,0.17953708419941095,0.5054076432494783,0.21714935806936841,2,yìsi,"idea; opinion; meaning; wish; desire; interest; fun; token of appreciation, affection etc; to give as a small token; to do sth as a gesture of goodwill etc",Translation,想法 | 思路 | 举措 | 方法 | 意图 | 路子 | 目的 | 初衷 | 动机 | 道理 | 方针 | 看法,0.0
开场白,140,44,0.3329640709791526,9,0.02607842707301461,0.03762499917038654,0.7936081229492229,8,0.06537829345248922,0.7282298294967336,0.1836031848139764,7-9,kāichǎngbái,"prologue of play; opening remarks; preamble (of speeches, articles etc)",Translation,戏剧 | 歌剧 | 歌曲 | 舞蹈 | 话剧 | 演唱 | 独唱 | 电影 | 音乐 | 喜剧 | 演出 | 剧本,0.5
事情,140,44,0.3327853989122308,114,0.027103523392429607,0.03903617439444009,0.1945838123580533,114,0.1552503549520393,0.039333457406014016,0.5398871447279135,2,shìqing,affair; matter; thing; business,Translation,症结 | 难题 | 困境 | 弊病 | 问题 | 弊端 | 难点 | 根源 | 谜团 | 隐患 | 疑点 | 难处,0.0
一言一行,140,44,0.3320654317648045,90,0.049632665231242545,0.06916796491873811,0.7157755575979106,138,0.06346795271784347,0.6523076048800671,0.30508216078994543,7-9,yīyán-yīxíng,every word and action (idiom),Translation,品德 | 人格 | 思维 | 素养 | 审美 | 观念 | 修养 | 意识 | 自尊 | 信念 | 价值观 | 思想,0.5
所作所为,140,44,0.32710452150765473,119,0.028816564538047373,0.04106608233998809,0.5992636558940664,110,0.046254248729784404,0.5530094071642819,0.4065475602559035,7-9,suǒzuò-suǒwéi,one's conduct and deeds,Translation,反驳 | 批评 | 指责 | 质问 | 辩解 | 抨击 | 质疑 | 反思 | 解释 | 揣测 | 否认 | 承认,0.5
分寸,140,44,0.3194789297853405,17,-0.0052543437248402936,-0.007721059574515378,0.18524732520717546,65,0.15781952114338757,0.02742780406378789,0.5339251107511311,7-9,fēncun,propriety; appropriate behavior; proper speech or action; within the norms,Translation,准确 | 详尽 | 恰当 | 细致 | 精确 | 确切 | 严谨 | 清晰 | 透彻 | 清楚 | 确凿 | 正确,0.0
一句话,140,44,0.31101656470876543,1,-0.0055017178927615484,-0.007985268746607604,0.3884501659171387,118,0.099500186438654,0.2889499794784847,0.5107014627387815,5,yī jù huà,in a word; in short,Translation,句子 | 课文 | 词汇 | 语法 | 文字 | 生词 | 字典 | 题目 | 课本 | 作文 | 英文 | 词典,0.25
立场,140,44,0.30639006455082834,51,0.018629721019067735,0.026156534320830167,0.4201362359974881,51,0.21978367673985902,0.2003525592576291,0.4382676452692048,5,lìchǎng,position; standpoint,Translation,想法 | 思路 | 举措 | 方法 | 意图 | 路子 | 目的 | 初衷 | 动机 | 道理 | 方针 | 看法,0.0
反应,140,44,0.28546060062332074,110,0.008987926912140176,0.012422373814465022,0.14485731700839335,51,0.08126141314368908,0.06359590386470428,0.7405002327911854,3,fǎnyìng,to react; to respond; reaction; response; reply; chemical reaction,Translation,想法 | 思路 | 举措 | 方法 | 意图 | 路子 | 目的 | 初衷 | 动机 | 道理 | 方针 | 看法,0.0
节奏,140,44,0.27845501608473067,10,-0.03593258492959761,-0.0497995076268414,0.6492949514116417,51,0.1449343716913114,0.5043605797203303,0.3241715569354593,6,jiézòu,rhythm; tempo; musical pulse; cadence; beat,Translation,想法 | 思路 | 举措 | 方法 | 意图 | 路子 | 目的 | 初衷 | 动机 | 道理 | 方针 | 看法,0.0
话题,140,44,0.27504559470518014,186,-0.05364837069557654,-0.07400240663929632,0.22681707681962496,186,0.16479816890277194,0.06201890791685302,0.5846701144696343,3,huàtí,subject (of a talk or conversation); topic,Translation,争论 | 讨论 | 磋商 | 商讨 | 协商 | 争议 | 议论 | 谈论 | 纠纷 | 谈判 | 辩论 | 议题,0.0
场合,140,44,0.27286056627216787,68,0.010274533710701417,0.013933196500726644,0.08991177648690113,93,0.0711370572424929,0.018774719244408225,0.7730177048397185,3,chǎnghé,situation; occasion; context; setting; location; venue,Translation,召开 | 举行 | 会议 | 演讲 | 发布会 | 发言 | 发表 | 举办 | 讲话 | 发布 | 演说 | 峰会,0.0
宣泄,140,44,0.24916014894080438,52,-0.03960446041030455,-0.05274688118169974,0.06921832693932202,167,0.05828720538895437,0.01093112155036765,0.8021739630735929,7-9,xuānxiè,to drain (by leading off water); to unburden oneself; to divulge; to leak a secret,Translation,欢呼 | 掌声 | 喝彩 | 热烈 | 赞叹 | 笑声 | 如醉如痴 | 振奋 | 鼓掌 | 惊叹 | 哄堂大笑 | 欢声笑语,0.0
取消,141,31,0.41465816281850415,91,0.13603496637219342,0.18857685151788905,0.9745612564991001,43,0.005445235020692346,0.9691160214784077,0.03471300139892227,3,qǔxiāo,to cancel; cancellation,Translation,判决 | 驳回 | 裁决 | 起诉 | 上诉 | 裁定 | 法院 | 控告 | 仲裁 | 罢免 | 法庭 | 免职,1.0
中止,141,31,0.4136167408560109,43,0.10524811286015306,0.15217371148907743,0.9710648164763752,91,0.010884919072302525,0.9601798974040727,0.03772769942909836,7-9,zhōngzhǐ,to cease; to suspend; to break off; to stop; to discontinue,Translation,退回 | 收回 | 丢掉 | 拿走 | 掉 | 丢 | 销毁 | 作废 | 关闭 | 归还 | 撤 | 没收,1.0
终止,141,31,0.4094839383357984,43,0.11374073535558327,0.16150463273752105,0.9039931236803476,43,0.02020385464541672,0.8837892690349308,0.1183874048966134,5,zhōngzhǐ,to stop; to terminate,Translation,判决 | 驳回 | 裁决 | 起诉 | 上诉 | 裁定 | 法院 | 控告 | 仲裁 | 罢免 | 法庭 | 免职,1.0
撤销,141,31,0.3940935617528183,43,0.03266443055334717,0.05115239693709023,0.8206474766522298,43,0.10902512690803873,0.7116223497441911,0.14093300887989618,6,chèxiāo,to repeal; to revoke; (computing) to undo,Translation,判决 | 驳回 | 裁决 | 起诉 | 上诉 | 裁定 | 法院 | 控告 | 仲裁 | 罢免 | 法庭 | 免职,1.0
暂停,141,31,0.3782670769659909,91,0.0927664003628848,0.12983413325271181,0.9107791446148318,91,0.04736031472059593,0.8634188298942358,0.09746949795800892,5,zàntíng,to suspend; time-out (e.g. in sports); stoppage; pause (media player),Translation,退回 | 收回 | 丢掉 | 拿走 | 掉 | 丢 | 销毁 | 作废 | 关闭 | 归还 | 撤 | 没收,1.0
停止,141,31,0.3767160845561037,91,0.07052707310788314,0.10165170957453007,0.9699116258251469,91,0.024304526072651312,0.9456070997524956,0.03156543259018338,3,tíngzhǐ,to stop; to halt; to cease,Translation,退回 | 收回 | 丢掉 | 拿走 | 掉 | 丢 | 销毁 | 作废 | 关闭 | 归还 | 撤 | 没收,1.0
废除,141,31,0.3737596470177446,120,0.06273614203959649,0.09105701354529776,0.9560329252508816,178,0.010513109748914909,0.9455198155019666,0.05461274584189256,7-9,fèichú,to abolish; to abrogate; to repeal,Translation,歼灭 | 侵略 | 摧毁 | 抵抗 | 打败 | 消灭 | 进攻 | 攻击 | 占领 | 统治 | 反击 | 敌人,1.0
更改,141,31,0.36231117133838403,14,0.10123517543960586,0.13700350087116409,0.8542547939101763,14,0.022631620334691037,0.8316231735754853,0.17735053717739782,7-9,gēnggǎi,to alter,Translation,安装 | 建造 | 修建 | 兴建 | 扩建 | 建成 | 拆除 | 竣工 | 动工 | 配备 | 改装 | 维修,0.5
放弃,141,31,0.3621094059121505,91,0.0682027915773683,0.09659174404121328,0.9153455652118815,129,0.014127549141617905,0.9012180160702635,0.10349649917374615,5,fàngqì,to renounce; to abandon; to give up,Translation,劝告 | 劝说 | 劝阻 | 催促 | 劝 | 吩咐 | 嘱咐 | 答应 | 告诫 | 叮嘱 | 听从 | 请求,0.0
延长,141,31,0.3516825898555686,96,0.08253865091956758,0.11293420868591512,0.5221924168257637,184,0.05263837862557074,0.4695540382001929,0.49230754669529114,4,yáncháng,"Yanchang county in Yan'an 安, Shaanxi; to prolong; to extend; to delay",Translation,增大 | 加剧 | 减弱 | 降低 | 缓解 | 增加 | 减少 | 加重 | 抑制 | 抵消 | 减轻 | 下降,1.0
推迟,141,31,0.3495100481311005,10,0.06522531560695621,0.09113305048946235,0.8311607625431141,148,0.027726354954491376,0.8034344075886227,0.20494020769666665,4,tuīchí,to postpone; to put off; to defer,Translation,晚上 | 中午 | 下午 | 早上 | 上午 | 傍晚 | 早晨 | 凌晨 | 夜里 | 一早 | 前天 | 昨天,1.0
解散,141,31,0.34409083191754164,43,0.03219208969816373,0.04678394252903261,0.7569829342435461,43,0.1721342154705273,0.5848487187730188,0.15720402056055405,7-9,jiěsàn,to dissolve; to disband,Translation,判决 | 驳回 | 裁决 | 起诉 | 上诉 | 裁定 | 法院 | 控告 | 仲裁 | 罢免 | 法庭 | 免职,1.0
中断,141,31,0.34330842666060485,83,0.05416529483029231,0.07619718857012224,0.8198410434092797,91,0.0794997061716158,0.7403413372376638,0.1658091748693261,5,zhōngduàn,to cut short; to break off; to discontinue; to interrupt,Translation,退回 | 收回 | 丢掉 | 拿走 | 掉 | 丢 | 销毁 | 作废 | 关闭 | 归还 | 撤 | 没收,0.5
延期,141,31,0.33904882678332154,43,0.06910774313626156,0.0946605014859543,0.7919533820985388,43,0.027578214735671635,0.7643751673628671,0.23587778342351842,4,yánqī,to delay; to extend; to postpone; to defer,Translation,判决 | 驳回 | 裁决 | 起诉 | 上诉 | 裁定 | 法院 | 控告 | 仲裁 | 罢免 | 法庭 | 免职,1.0
搁置,141,31,0.3369035823975413,91,0.061649239531543665,0.08506327554322257,0.8203197559218038,91,0.02142622815709236,0.7988935277647115,0.22016987039796124,7-9,gēzhì,to shelve; to set aside,Translation,退回 | 收回 | 丢掉 | 拿走 | 掉 | 丢 | 销毁 | 作废 | 关闭 | 归还 | 撤 | 没收,0.75
解除,141,31,0.3356910407331732,120,0.03973555409167334,0.05643897983399242,0.738445608062046,120,0.08178743452178885,0.6566581735402571,0.261685932597683,5,jiěchú,to remove; to sack; to get rid of; to relieve (sb of their duties); to free; to lift (an embargo); to rescind (an agreement),Translation,消除 | 清除 | 去除 | 解决 | 克服 | 修补 | 去掉 | 清理 | 破除 | 纠正 | 扫除 | 化解,1.0
修改,141,31,0.333832928255498,182,0.05770110921654725,0.07971217789948967,0.8018789231721355,43,0.02258652600102598,0.7792923971711095,0.2296755972952342,3,xiūgǎi,to amend; to alter; to modify,Translation,判决 | 驳回 | 裁决 | 起诉 | 上诉 | 裁定 | 法院 | 控告 | 仲裁 | 罢免 | 法庭 | 免职,0.5
删除,141,31,0.32584696589265705,91,0.03967888961067767,0.05558575946562977,0.8488927072927623,91,0.022164831650627,0.8267278756421353,0.16483161804224503,7-9,shānchú,to delete; to cancel,Translation,退回 | 收回 | 丢掉 | 拿走 | 掉 | 丢 | 销毁 | 作废 | 关闭 | 归还 | 撤 | 没收,0.5
终结,141,31,0.3154048101490448,91,0.05249905603067667,0.07122434657983656,0.6012324508644872,166,0.08138749535678949,0.5198449555076977,0.36115418492661744,7-9,zhōngjié,end; conclusion; to come to an end; to terminate (sth),Translation,衰退 | 衰弱 | 崩溃 | 萧条 | 萎缩 | 陷入 | 不景气 | 低迷 | 没落 | 恶化 | 破灭 | 动荡,0.5
缩短,141,31,0.3152231792555435,96,0.020159630427770026,0.028597798275641625,0.30676216623391994,184,0.10443107587027134,0.2023310903636486,0.5978914773664129,4,suōduǎn,to curtail; to cut down,Translation,增大 | 加剧 | 减弱 | 降低 | 缓解 | 增加 | 减少 | 加重 | 抑制 | 抵消 | 减轻 | 下降,0.5
拖延,141,31,0.3130609875242388,22,-0.0004686756257303304,-0.0006822667183237365,0.785324660717559,22,0.06273781842155558,0.7225868422960035,0.22697509226948157,7-9,tuōyán,to delay; to put off; to procrastinate,Translation,阻挠 | 恐吓 | 迫害 | 挑衅 | 讹诈 | 侮辱 | 谴责 | 诽谤 | 反抗 | 纵容 | 报复 | 无理,0.5
免除,141,31,0.3105635705915712,120,0.029729407052845214,0.041338736555022945,0.8957891112962918,59,0.018111873771059744,0.8776772375252321,0.1202360297195867,7-9,miǎnchú,to prevent; to avoid; to excuse; to exempt; to relieve; (of a debt) to remit,Translation,获得 | 拥有 | 承担 | 承受 | 担负 | 赢得 | 具备 | 经受 | 占据 | 胜任 | 掌握 | 享有,1.0
简化,141,31,0.3076191658825809,96,0.00724352525824834,0.010353449191952573,0.32593983193365955,145,0.0502877974593912,0.27565203447426834,0.6217420381764774,7-9,jiǎnhuà,to simplify,Translation,制定 | 制订 | 开展 | 组建 | 实施 | 建立 | 设立 | 推出 | 推行 | 构建 | 成立 | 拟定,0.5
抛弃,141,31,0.2971902328496506,164,-0.03329710823528642,-0.04737712791086368,0.7404434665746114,91,0.06038127633669443,0.6800621902379169,0.24036725618246937,7-9,pāoqì,to abandon; to discard; to renounce; to dump (sb),Translation,退回 | 收回 | 丢掉 | 拿走 | 掉 | 丢 | 销毁 | 作废 | 关闭 | 归还 | 撤 | 没收,0.0
变更,141,31,0.29670890579579934,43,0.022610435390420458,0.031148075143259835,0.22557399111572712,43,0.14518956704198724,0.08038442407373989,0.6077582314817487,6,biàngēng,to change; to alter; to modify,Translation,判决 | 驳回 | 裁决 | 起诉 | 上诉 | 裁定 | 法院 | 控告 | 仲裁 | 罢免 | 法庭 | 免职,1.0
保留,141,31,0.2954815073969284,59,0.028289510388334826,0.03860425960531775,0.4462039070917872,14,0.21146604956353351,0.23473785752825369,0.44515958328850563,3,bǎoliú,to keep; to retain; to have reservations (about sth); to hold back (from saying sth); to put aside for later,Translation,安装 | 建造 | 修建 | 兴建 | 扩建 | 建成 | 拆除 | 竣工 | 动工 | 配备 | 改装 | 维修,0.25
无效,141,31,0.2906797869539151,43,0.026095667266474165,0.035484231392152066,0.4890980901134385,91,0.17958061431278946,0.30951747580064903,0.4401269165227053,6,wúxiào,not valid; ineffective; in vain,Translation,退回 | 收回 | 丢掉 | 拿走 | 掉 | 丢 | 销毁 | 作废 | 关闭 | 归还 | 撤 | 没收,1.0
改为,141,31,0.28682849628757634,14,0.051303632033126906,0.06710961499499041,0.3924592782190046,14,0.20181841417164878,0.19064086404735583,0.4377733082328015,7-9,gǎiwéi,to change into,Translation,安装 | 建造 | 修建 | 兴建 | 扩建 | 建成 | 拆除 | 竣工 | 动工 | 配备 | 改装 | 维修,0.25
退出,141,31,0.2865387635533284,91,-0.026764675396639237,-0.03751384662457374,0.4120564020301617,91,0.30758714736815995,0.10446925466200174,0.39313321299581444,3,tuìchū,to withdraw; to abort; to quit; to log out (computing),Translation,退回 | 收回 | 丢掉 | 拿走 | 掉 | 丢 | 销毁 | 作废 | 关闭 | 归还 | 撤 | 没收,1.0
宣告,141,31,0.2836692678222222,43,0.028103193649039404,0.03775109203657812,0.779736564945555,43,0.030631915231871035,0.749104649713684,0.2535032651739838,7-9,xuāngào,to declare; to proclaim,Translation,判决 | 驳回 | 裁决 | 起诉 | 上诉 | 裁定 | 法院 | 控告 | 仲裁 | 罢免 | 法庭 | 免职,1.0
改动,141,31,0.2684029020516518,58,-0.011053989951657128,-0.015109395571218492,0.6440505196761892,14,0.09292668237170386,0.5511238373044853,0.3435246288974341,7-9,gǎidòng,to alter; to modify; to revise,Translation,安装 | 建造 | 修建 | 兴建 | 扩建 | 建成 | 拆除 | 竣工 | 动工 | 配备 | 改装 | 维修,0.0
打工,143,36,0.40127057124029913,50,0.07877108910349145,0.11626720131806252,0.9321884596672027,199,0.04489520778477187,0.8872932518824308,0.06393051555030241,2,dǎgōng,"to work a temporary or casual job; (of students) to have a job outside of class time, or during vacation",Translation,补习 | 课程 | 入学 | 高中 | 研究生 | 学校 | 初中 | 大学 | 选修 | 本科 | 考试 | 报考,1.0
做生意,143,36,0.38734531096770103,94,0.08048827593865693,0.11612074277061954,0.9440464150186655,122,0.013698739773137781,0.9303476752455277,0.07336022622247292,7-9,zuò shēngyi,to do business,Translation,争吵 | 较量 | 争执 | 较劲 | 吵架 | 吵嘴 | 对峙 | 抗争 | 搏斗 | 抗衡 | 作对 | 打架,1.0
谋生,143,36,0.36282902961026386,36,0.07971065876072914,0.11119082358853247,0.959126039638802,199,0.026986908990429246,0.9321391306483728,0.04464280483784474,7-9,móushēng,to seek one's livelihood; to work to support oneself; to earn a living,Translation,补习 | 课程 | 入学 | 高中 | 研究生 | 学校 | 初中 | 大学 | 选修 | 本科 | 考试 | 报考,1.0
经商,143,36,0.3598367231511027,105,0.10860637766033315,0.14504644653570728,0.8731096182968505,199,0.08445211621307594,0.7886575020837746,0.11677819059050334,7-9,jīngshāng,to trade; to carry out commercial activities; in business,Translation,补习 | 课程 | 入学 | 高中 | 研究生 | 学校 | 初中 | 大学 | 选修 | 本科 | 考试 | 报考,0.75
乡下,143,36,0.3435027891450173,50,0.03865757361340161,0.05561002308710968,0.5864632436367598,31,0.32852036655077427,0.25794287708598557,0.21107041570553367,7-9,xiāngxia,countryside; rural area,Translation,姐姐 | 妹妹 | 姑姑 | 哥哥 | 舅舅 | 母亲 | 嫂子 | 妈妈 | 爸爸 | 媳妇 | 父亲 | 闺女,0.0
穷人,143,36,0.3371594230464656,158,0.028876848041736514,0.041746596223066,0.8830266524722106,31,0.05687367686149766,0.8261529756107129,0.10625139982164873,4,qióngrén,poor people; the poor,Translation,姐姐 | 妹妹 | 姑姑 | 哥哥 | 舅舅 | 母亲 | 嫂子 | 妈妈 | 爸爸 | 媳妇 | 父亲 | 闺女,0.25
上学,143,36,0.3364654317507324,199,-0.01426179238682762,-0.021493669010278302,0.6957365990911355,199,0.27477804411667006,0.42095855497446544,0.14621837047616523,1,shàngxué,to go to school; to attend school,Translation,补习 | 课程 | 入学 | 高中 | 研究生 | 学校 | 初中 | 大学 | 选修 | 本科 | 考试 | 报考,0.5
乞丐,143,36,0.3326343014311877,172,-0.011150387541623952,-0.016708062109779362,0.6623944394545922,31,0.2742209959653229,0.3881734434892693,0.17577197319830296,7-9,qǐgài,beggar,Translation,姐姐 | 妹妹 | 姑姑 | 哥哥 | 舅舅 | 母亲 | 嫂子 | 妈妈 | 爸爸 | 媳妇 | 父亲 | 闺女,0.25
城里,143,36,0.3320929697193641,107,0.004569934779372953,0.006795674821315481,0.5480056668154677,107,0.21616934831350584,0.3318363185019618,0.31970054727204844,5,chénglǐ,In the city,Translation,旁边 | 后边 | 前边 | 外边 | 左边 | 前面 | 下边 | 那边 | 上边 | 后面 | 右边 | 里边,0.0
苦力,143,36,0.3304264659899866,50,-0.0020988991673628887,-0.0031346806000421223,0.8762855282732858,50,0.032863240237145395,0.8434222880361404,0.13774726008122895,7-9,kǔlì,"bitter work; hard toil; (loanword) coolie, unskilled Chinese laborer in colonial times",Translation,伺候 | 侍候 | 干活儿 | 做饭 | 使唤 | 捡 | 喂 | 遛 | 打扫 | 收拾 | 活儿 | 陪,0.5
小贩,143,36,0.33017564067602695,172,0.05748823943178705,0.07904199587651067,0.9719747268062001,31,0.016732217117915567,0.9552425096882845,0.03196540066581008,7-9,xiǎofàn,peddler; hawker,Translation,姐姐 | 妹妹 | 姑姑 | 哥哥 | 舅舅 | 母亲 | 嫂子 | 妈妈 | 爸爸 | 媳妇 | 父亲 | 闺女,0.0
商人,143,36,0.32765618547040354,23,0.04692341946623746,0.06523781043876836,0.7517074404574466,31,0.10866061056228966,0.6430468298951569,0.1878075460856978,2,shāngrén,merchant; businessman,Translation,姐姐 | 妹妹 | 姑姑 | 哥哥 | 舅舅 | 母亲 | 嫂子 | 妈妈 | 爸爸 | 媳妇 | 父亲 | 闺女,0.25
外出,143,36,0.3270536977226877,131,0.01499774657116798,0.02180082318652513,0.6178114576989612,131,0.1531751597775966,0.46463629792136457,0.272340588031046,6,wàichū,to go out; to go away (on a trip etc),Translation,赶往 | 前往 | 起程 | 赶赴 | 动身 | 奔赴 | 离开 | 赶到 | 来到 | 搭乘 | 返回 | 踏上,0.25
